ISO3,Year,actual_funding,pred_funding,funding_gap,funding_ratio_gap,flag_overlooked,flag_overfunded,Latitude,Longitude,Continent
AFG,2020,74274515.41,62035553.05827911,12238962.351720884,0.1972894855990568,False,False,33.93911,67.709953,Asia
AFG,2021,165403048.41,70071135.16243967,95331913.24756032,1.360501910330992,False,True,33.93911,67.709953,Asia
AFG,2022,282670724.47,110633159.1869408,172037565.28305924,1.5550271414771877,False,True,33.93911,67.709953,Asia
AFG,2023,134957920.4,215055994.54596764,-80098074.14596763,-0.372452180721923,True,False,33.93911,67.709953,Asia
AFG,2024,55213329.07,115237932.59967649,-60024603.52967649,-0.5208753938531261,True,False,33.93911,67.709953,Asia
AFG,2025,73438742.96000001,56771207.99070542,16667534.969294585,0.29359133897632383,False,False,33.93911,67.709953,Asia
BFA,2022,29449688.4,23245324.33134278,6204364.068657219,0.2669080448273884,False,False,12.238333,-1.561593,Africa
BFA,2023,20032043.22,27275567.223921325,-7243524.003921326,-0.2655682261144172,False,False,12.238333,-1.561593,Africa
BFA,2024,13999919.98,31017051.24752544,-17017131.26752544,-0.5486379453586219,True,False,12.238333,-1.561593,Africa
BFA,2025,8997558.19,10061506.112629306,-1063947.922629306,-0.10574439956795623,False,False,12.238333,-1.561593,Africa
CAF,2020,30839970.34,33918068.89457881,-3078098.554578807,-0.09075099658963148,False,False,6.611111,20.939444,Africa
CAF,2021,23298106.64,31894330.07685538,-8596223.43685538,-0.26952199391368825,False,False,6.611111,20.939444,Africa
CAF,2022,29493646.31,33204098.292351373,-3710451.982351374,-0.11174680756821165,False,False,6.611111,20.939444,Africa
CAF,2023,15797063.92,29501034.225552578,-13703970.305552578,-0.4645250807404835,True,False,6.611111,20.939444,Africa
CAF,2024,18499917.63,27791893.582426183,-9291975.952426184,-0.3343412324485092,False,False,6.611111,20.939444,Africa
CAF,2025,7100000.01,25595328.616037298,-18495328.606037296,-0.7226056318123869,True,False,6.611111,20.939444,Africa
COD,2020,75000641.67,78988627.19134976,-3987985.521349758,-0.050488097630673745,False,False,-4.038333,21.758664,Africa
COD,2021,65132904.83,75394048.20555504,-10261143.375555038,-0.13610017792888585,False,False,-4.038333,21.758664,Africa
COD,2022,38434815.36,72421851.81252466,-33987036.45252466,-0.4692925629754048,True,False,-4.038333,21.758664,Africa
COD,2023,42981475.66,44409371.8498898,-1427896.1898898035,-0.03215303730744723,False,False,-4.038333,21.758664,Africa
COD,2024,37000000.09,48789226.36929632,-11789226.279296316,-0.24163585194118642,False,False,-4.038333,21.758664,Africa
COD,2025,29796566.58,55153572.376534306,-25357005.796534307,-0.4597527359319833,True,False,-4.038333,21.758664,Africa
COL,2024,3006015.08,26084723.37215993,-23078708.29215993,-0.8847595568826963,True,False,4.570868,-74.297333,Americas
ETH,2020,57478521.56,61107338.98459141,-3628817.424591407,-0.05938431430480773,False,False,9.145,40.489673,Africa
ETH,2021,98519150.26,70806163.15871508,27712987.10128492,0.3913923006838411,False,True,9.145,40.489673,Africa
ETH,2022,63908474.3,84279484.97374311,-20371010.673743114,-0.2417078210680762,False,False,9.145,40.489673,Africa
ETH,2023,59982606.78,63616764.60798707,-3634157.8279870674,-0.057125788310378844,False,False,9.145,40.489673,Africa
ETH,2024,63903768.73,69642366.39130718,-5738597.661307178,-0.08240095732909325,False,False,9.145,40.489673,Africa
ETH,2025,44200860.68,54522555.84309654,-10321695.16309654,-0.18931055236662087,False,False,9.145,40.489673,Africa
