ISO3,Year,actual_funding,pred_funding,funding_gap,funding_ratio_gap,flag_overlooked,flag_overfunded,Latitude,Longitude
AFG,2020,74274515.41,59773477.462788984,14501037.947211012,0.24259987142689488,False,False,33.93911,67.709953
AFG,2021,165403048.41,69090389.2235718,96312659.18642819,1.3940095036194826,False,True,33.93911,67.709953
AFG,2022,282670724.47,101267025.0245488,181403699.44545123,1.7913402650218666,False,True,33.93911,67.709953
AFG,2023,134957920.4,160700034.05194953,-25742113.651949525,-0.16018735654796357,False,False,33.93911,67.709953
AFG,2024,55213329.07,115077810.53780009,-59864481.46780009,-0.5202087282338079,True,False,33.93911,67.709953
AFG,2025,73438742.96000001,50861241.12592297,22577501.834077038,0.4439038712834267,False,True,33.93911,67.709953
BFA,2022,29449688.4,23623232.154944215,5826456.245055784,0.24664094256197444,False,False,12.238333,-1.561593
BFA,2023,20032043.22,22487809.45943573,-2455766.2394357324,-0.10920433330180634,False,False,12.238333,-1.561593
BFA,2024,13999919.98,30426817.37706769,-16426897.397067688,-0.5398822096144842,True,False,12.238333,-1.561593
BFA,2025,8997558.19,19369182.432067115,-10371624.242067115,-0.5354704194894733,True,False,12.238333,-1.561593
CAF,2020,30839970.34,33256959.04044731,-2416988.7004473098,-0.07267617876630739,False,False,6.611111,20.939444
CAF,2021,23298106.64,31739217.780470673,-8441111.140470672,-0.26595208485776034,False,False,6.611111,20.939444
CAF,2022,29493646.31,34776761.98700465,-5283115.677004654,-0.15191511156153192,False,False,6.611111,20.939444
CAF,2023,15797063.92,31520645.564329788,-15723581.644329788,-0.4988343786373245,True,False,6.611111,20.939444
CAF,2024,18499917.63,27527951.726091128,-9028034.096091129,-0.32795880296223834,False,False,6.611111,20.939444
CAF,2025,7100000.01,26208852.162087016,-19108852.152087018,-0.7290991621422224,True,False,6.611111,20.939444
COD,2020,75000641.67,79629706.94932713,-4629065.279327124,-0.058132391247814885,False,False,-4.038333,21.758664
COD,2021,65132904.83,74111716.84000312,-8978812.01000312,-0.12115239523309285,False,False,-4.038333,21.758664
COD,2022,38434815.36,70604682.61404023,-32169867.254040226,-0.4556336217796839,True,False,-4.038333,21.758664
COD,2023,42981475.66,42302312.08743153,679163.5725684687,0.01605499886542261,False,False,-4.038333,21.758664
COD,2024,37000000.09,54079894.26225856,-17079894.172258556,-0.31582706300108887,False,False,-4.038333,21.758664
COD,2025,29796566.58,44650839.86667388,-14854273.286673881,-0.3326762347814355,False,False,-4.038333,21.758664
COL,2024,3006015.08,20431339.24404152,-17425324.16404152,-0.8528723426254763,True,False,4.570868,-74.297333
ETH,2020,57478521.56,61394967.28118125,-3916445.721181251,-0.06379098963021546,False,False,9.145,40.489673
ETH,2021,98519150.26,71082070.43460609,27437079.825393915,0.38599156802326706,False,True,9.145,40.489673
ETH,2022,63908474.3,85351538.73100254,-21443064.431002542,-0.25123231226777754,False,False,9.145,40.489673
ETH,2023,59982606.78,69267728.02441986,-9285121.244419858,-0.134046857161916,False,False,9.145,40.489673
ETH,2024,63903768.73,65787833.659317546,-1884064.9293175489,-0.028638500837011693,False,False,9.145,40.489673
ETH,2025,44200860.68,67892607.56069951,-23691746.880699508,-0.34895915375643594,False,False,9.145,40.489673
HTI,2024,4026011.8,17067148.49934935,-13041136.699349348,-0.7641075309004616,True,False,18.971187,-72.285215
HTI,2025,2162359.06,3584304.7096847235,-1421945.6496847235,-0.39671449970273276,True,False,18.971187,-72.285215
IRQ,2020,27594112.58,61106989.32658767,-33512876.74658767,-0.5484295187163837,True,False,33.223191,43.679291
IRQ,2021,25391271.47,22102039.581186946,3289231.8888130523,0.14882028768117928,False,False,33.223191,43.679291
IRQ,2022,8386519.220000001,25597330.28219765,-17210811.062197648,-0.6723674255266914,True,False,33.223191,43.679291
JOR,2020,8334514.42,14395216.858205985,-6060702.438205985,-0.42102196152405214,True,False,30.585164,36.238414
JOR,2021,2022680.58,11229110.814442847,-9206430.234442847,-0.8198717054783684,True,False,30.585164,36.238414
JOR,2022,400000.02,5183087.907983367,-4783087.887983367,-0.9228259240241921,True,False,30.585164,36.238414
LBN,2020,16210106.03,11190902.302873362,5019203.7271266375,0.44850751005465495,False,True,33.854721,35.862285
LBN,2021,25267473.8,25953854.98768541,-686381.1876854077,-0.026446213404948238,False,False,33.854721,35.862285
LBN,2022,28340770.36,26583526.290501267,1757244.0694987327,0.06610274537304806,False,False,33.854721,35.862285
LBN,2023,26686329.11,16262927.125934524,10423401.984065475,0.6409302521833999,False,True,33.854721,35.862285
LBN,2024,65617457.71,23390580.736159537,42226876.97384046,1.8052940818421779,False,True,33.854721,35.862285
LBN,2025,35093106.64,40258119.62520453,-5165012.985204533,-0.12829742256443732,False,False,33.854721,35.862285
MLI,2023,5347230.34,16495448.670488141,-11148218.330488142,-0.6758360171453426,True,False,17.570692,-3.996166
MLI,2024,4199985.609999999,9443674.965779085,-5243689.355779085,-0.5552594064048764,True,False,17.570692,-3.996166
MLI,2025,8012337.23,4397126.562593183,3615210.667406818,0.8221757131490808,False,True,17.570692,-3.996166
MMR,2020,16544732.78,17106387.354228385,-561654.5742283855,-0.032833032632664794,False,False,21.916221,95.955974
MMR,2021,20857614.5,8183363.917931669,12674250.582068332,1.548782470042188,False,True,21.916221,95.955974
MMR,2022,24695346.51,26156864.80443733,-1461518.2944373302,-0.05587513279456158,False,False,21.916221,95.955974
MMR,2023,35639378.82,28320910.809913244,7318468.010086756,0.2584121696935344,False,False,21.916221,95.955974
MMR,2024,27894424.96,41594002.49111603,-13699577.531116031,-0.3293642523111858,False,False,21.916221,95.955974
MMR,2025,35848382.97,27100033.19034151,8748349.779658489,0.32281693967727,False,False,21.916221,95.955974
MOZ,2025,2287877.25,15039199.70697674,-12751322.45697674,-0.8478724071375523,True,False,-18.665695,35.529562
